Confidence,System
3,SOrec
1,SOrec
1,SOrec
2,SOrec
2,SOrec
3,SOrec
4,SOrec
2,SOrec
3,SOrec
3,SOrec
1,SOrec
1,SOrec
3,SOrec
1,SOrec
2,SOrec
3,SOrec
1,SOrec
3,SOrec
3,SOrec
2,SOrec
3,SOrec
2,SOrec
2,SOrec
4,SOrec
2,SOrec
2,SOrec
3,SOrec
2,SOrec
2,SOrec
2,SOrec
4,SOrec
4,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
3,SOrec
4,SOrec
2,SOrec
3,SOrec
3,SOrec
3,SOrec
2,SOrec
1,SOrec
3,SOrec
2,SOrec
3,SOrec
2,SOrec
3,SOrec
2,SOrec
3,SOrec
4,SOrec
4,SOrec
4,SOrec
4,SOrec
1,SOrec
1,SOrec
1,SOrec
2,SOrec
1,SOrec
2,SOrec
1,SOrec
4,SOrec
3,SOrec
2,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
4,SOrec
3,SOrec
1,SOrec
2,SOrec
2,SOrec
4,SOrec
3,SOrec
4,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
1,SOrec
4,SOrec
1,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
1,SOrec
1,SOrec
4,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
2,SOrec
3,SOrec
2,SOrec
2,SOrec
4,SOrec
4,SOrec
4,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
1,SOrec
2,SOrec
3,SOrec
1,SOrec
1,SOrec
3,SOrec
4,SOrec
1,SOrec
2,SOrec
4,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
1,SOrec
1,SOrec
4,SOrec
1,SOrec
4,SOrec
3,SOrec
2,SOrec
3,SOrec
3,SOrec
2,SOrec
4,SOrec
4,SOrec
3,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
1,SOrec
3,SOrec
4,SOrec
1,SOrec
3,SOrec
4,SOrec
4,SOrec
3,SOrec
3,SOrec
2,SOrec
3,SOrec
2,SOrec
4,SOrec
4,SOrec
4,SOrec
4,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
3,SOrec
4,SOrec
4,SOrec
3,SOrec
4,SOrec
3,SOrec
3,SOrec
3,SOrec
4,SOrec
4,SOrec
4,SOrec
4,SOrec
3,SOrec
4,SOrec
2,SOrec
4,SOrec
3,SOrec
3,SOrec
2,SOrec
3,SOrec
4,SOrec
3,SOrec
2,SOrec
2,SOrec
4,SOrec
4,SOrec
2,SOrec
3,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
3,FaCoY
2,FaCoY
3,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
1,FaCoY
3,FaCoY
4,FaCoY
1,FaCoY
4,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
1,FaCoY
2,FaCoY
1,FaCoY
2,FaCoY
3,FaCoY
4,FaCoY
2,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
4,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
4,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
1,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
4,FaCoY
4,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
4,FaCoY
1,FaCoY
2,FaCoY
2,FaCoY
1,FaCoY
4,FaCoY
2,FaCoY
1,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
2,FaCoY
1,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
2,FaCoY
1,FaCoY
4,FaCoY
4,FaCoY
3,FaCoY
4,FaCoY
1,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
4,FaCoY
4,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
2,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
2,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
1,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
1,FaCoY
2,FaCoY
3,FaCoY
1,FaCoY
4,FaCoY
3,FaCoY
1,FaCoY
4,FaCoY
4,FaCoY
3,FaCoY
4,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
4,FaCoY
4,FaCoY
2,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
2,FaCoY
1,FaCoY
3,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
2,FaCoY
3,FaCoY
1,FaCoY
1,FaCoY
3,FaCoY
1,FaCoY
4,FaCoY
2,FaCoY
2,FaCoY
3,FaCoY
2,FaCoY
3,FaCoY
2,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
3,FaCoY
2,FaCoY
2,FaCoY
2,FaCoY
1,FaCoY
