Success,System
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
0,SOrec
1,SOrec
0,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,SOrec
1,FaCoY
1,FaCoY
0,FaCoY
0,FaCoY
1,FaCoY
0,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
0,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
0,FaCoY
0,FaCoY
0,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
0,FaCoY
1,FaCoY
1,FaCoY
0,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
1,FaCoY
