Confidence,Configuration
4,A
4,A
1,A
1,A
1,A
4,A
4,A
1,A
4,A
3,A
1,A
1,A
1,A
1,A
1,A
4,A
1,A
4,A
1,A
2,A
4,A
4,A
4,A
4,A
3,A
4,A
4,A
4,A
4,A
4,A
4,A
4,A
4,A
4,A
3,A
4,A
4,A
3,A
3,A
4,A
4,A
4,A
4,A
4,A
4,A
3,A
1,A
1,A
3,A
1,A
4,B
3,B
2,B
2,B
2,B
4,B
3,B
4,B
4,B
4,B
1,B
1,B
1,B
1,B
1,B
3,B
4,B
1,B
4,B
2,B
4,B
3,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
4,B
3,B
4,B
4,B
4,B
3,B
3,B
4,B
4,B
4,B
4,B
4,B
3,B
1,B
3,B
3,B
1,B
4,C
4,C
1,C
3,C
2,C
4,C
4,C
4,C
4,C
4,C
1,C
1,C
1,C
1,C
1,C
4,C
4,C
3,C
4,C
2,C
4,C
3,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
4,C
3,C
4,C
4,C
4,C
1,C
4,C
4,C
4,C
4,C
4,C
4,C
3,C
3,C
1,C
1,C
1,C
4,D
3,D
2,D
1,D
1,D
4,D
4,D
4,D
4,D
4,D
1,D
1,D
1,D
1,D
1,D
4,D
3,D
1,D
3,D
1,D
4,D
3,D
4,D
4,D
4,D
4,D
4,D
4,D
4,D
4,D
4,D
4,D
3,D
3,D
4,D
4,D
3,D
2,D
4,D
3,D
4,D
4,D
4,D
4,D
4,D
3,D
1,D
3,D
3,D
1,D
4,E
2,E
2,E
2,E
2,E
4,E
4,E
4,E
4,E
4,E
2,E
3,E
3,E
3,E
2,E
1,E
4,E
4,E
2,E
1,E
4,E
4,E
4,E
4,E
4,E
4,E
3,E
4,E
4,E
4,E
4,E
3,E
4,E
4,E
4,E
4,E
3,E
3,E
3,E
2,E
4,E
4,E
4,E
4,E
4,E
3,E
3,E
4,E
2,E
3,E
4,F
2,F
2,F
2,F
3,F
4,F
4,F
4,F
4,F
4,F
2,F
2,F
2,F
3,F
3,F
4,F
2,F
4,F
4,F
2,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
4,F
3,F
3,F
3,F
3,F
4,F
4,F
4,F
4,F
4,F
3,F
3,F
4,F
3,F
2,F
